region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
World,Historical,EV sales,Cars,BEV,2024,Vehicles,11000000,_World
World,Historical,EV sales,Cars,BEV,2023,Vehicles,9500000,_World
World,Historical,EV sales,Cars,BEV,2022,Vehicles,7300000,_World
World,Historical,EV sales,Cars,BEV,2021,Vehicles,4700000,_World
World,Historical,EV sales,Cars,BEV,2020,Vehicles,2000000,_World
World,Historical,EV sales,Cars,BEV,2019,Vehicles,1500000,_World
World,Historical,EV sales,Cars,BEV,2018,Vehicles,1400000,_World
World,Historical,EV sales,Cars,BEV,2017,Vehicles,760000,_World
World,Historical,EV sales,Cars,BEV,2016,Vehicles,470000,_World
World,Historical,EV sales,Cars,BEV,2015,Vehicles,330000,_World
World,Historical,EV sales,Cars,BEV,2014,Vehicles,200000,_World
World,Historical,EV sales,Cars,BEV,2013,Vehicles,110000,_World
World,Historical,EV sales,Cars,BEV,2012,Vehicles,58000,_World
World,Historical,EV sales,Cars,BEV,2011,Vehicles,40000,_World
World,Historical,EV sales,Cars,BEV,2010,Vehicles,7000,_World
