region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
China,Historical,EV sales,Cars,PHEV,2024,Vehicles,4900000,Other
China,Historical,EV sales,Cars,PHEV,2023,Vehicles,2700000,Other
China,Historical,EV sales,Cars,PHEV,2022,Vehicles,1500000,Other
China,Historical,EV sales,Cars,PHEV,2021,Vehicles,550000,Other
Germany,Historical,EV sales,Cars,PHEV,2022,Vehicles,360000,Other
Germany,Historical,EV sales,Cars,PHEV,2021,Vehicles,330000,Other
USA,Historical,EV sales,Cars,PHEV,2024,Vehicles,320000,Other
USA,Historical,EV sales,Cars,PHEV,2023,Vehicles,290000,Other
China,Historical,EV sales,Cars,PHEV,2018,Vehicles,270000,Other
China,Historical,EV sales,Cars,PHEV,2019,Vehicles,230000,Other
China,Historical,EV sales,Cars,PHEV,2020,Vehicles,220000,Other
Germany,Historical,EV sales,Cars,PHEV,2020,Vehicles,200000,Other
Germany,Historical,EV sales,Cars,PHEV,2024,Vehicles,190000,Other
USA,Historical,EV sales,Cars,PHEV,2022,Vehicles,190000,Other
Germany,Historical,EV sales,Cars,PHEV,2023,Vehicles,180000,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2024,Vehicles,170000,Other
France,Historical,EV sales,Cars,PHEV,2023,Vehicles,160000,Other
USA,Historical,EV sales,Cars,PHEV,2021,Vehicles,160000,Other
France,Historical,EV sales,Cars,PHEV,2024,Vehicles,150000,Other
France,Historical,EV sales,Cars,PHEV,2021,Vehicles,140000,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2023,Vehicles,140000,Other
France,Historical,EV sales,Cars,PHEV,2022,Vehicles,130000,Other
USA,Historical,EV sales,Cars,PHEV,2018,Vehicles,120000,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2021,Vehicles,120000,Other
China,Historical,EV sales,Cars,PHEV,2017,Vehicles,110000,Other
Belgium,Historical,EV sales,Cars,PHEV,2023,Vehicles,100000,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2022,Vehicles,100000,Other
USA,Historical,EV sales,Cars,PHEV,2017,Vehicles,94000,Other
USA,Historical,EV sales,Cars,PHEV,2019,Vehicles,85000,Other
China,Historical,EV sales,Cars,PHEV,2016,Vehicles,79000,Other
Sweden,Historical,EV sales,Cars,PHEV,2021,Vehicles,78000,Other
France,Historical,EV sales,Cars,PHEV,2020,Vehicles,75000,Other
USA,Historical,EV sales,Cars,PHEV,2016,Vehicles,73000,Other
Italy,Historical,EV sales,Cars,PHEV,2021,Vehicles,71000,Other
Italy,Historical,EV sales,Cars,PHEV,2023,Vehicles,70000,Other
Central and South America,Historical,EV sales,Cars,PHEV,2024,Vehicles,69000,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2024,Vehicles,69000,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2020,Vehicles,68000,Other
Belgium,Historical,EV sales,Cars,PHEV,2024,Vehicles,67000,Other
Sweden,Historical,EV sales,Cars,PHEV,2022,Vehicles,67000,Other
Spain,Historical,EV sales,Cars,PHEV,2024,Vehicles,66000,Other
Sweden,Historical,EV sales,Cars,PHEV,2020,Vehicles,66000,Other
Italy,Historical,EV sales,Cars,PHEV,2022,Vehicles,65000,Other
Spain,Historical,EV sales,Cars,PHEV,2023,Vehicles,65000,Other
USA,Historical,EV sales,Cars,PHEV,2020,Vehicles,64000,Other
Brazil,Historical,EV sales,Cars,PHEV,2024,Vehicles,63000,Other
Sweden,Historical,EV sales,Cars,PHEV,2024,Vehicles,63000,Other
Canada,Historical,EV sales,Cars,PHEV,2024,Vehicles,62000,Other
China,Historical,EV sales,Cars,PHEV,2015,Vehicles,61000,Other
Sweden,Historical,EV sales,Cars,PHEV,2023,Vehicles,61000,Other
Belgium,Historical,EV sales,Cars,PHEV,2022,Vehicles,59000,Other
USA,Historical,EV sales,Cars,PHEV,2014,Vehicles,55000,Other
Italy,Historical,EV sales,Cars,PHEV,2024,Vehicles,52000,Other
Japan,Historical,EV sales,Cars,PHEV,2023,Vehicles,52000,Other
Netherlands,Historical,EV sales,Cars,PHEV,2024,Vehicles,52000,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2023,Vehicles,51000,Other
Spain,Historical,EV sales,Cars,PHEV,2022,Vehicles,49000,Other
USA,Historical,EV sales,Cars,PHEV,2013,Vehicles,49000,Other
Belgium,Historical,EV sales,Cars,PHEV,2021,Vehicles,48000,Other
Netherlands,Historical,EV sales,Cars,PHEV,2023,Vehicles,46000,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2018,Vehicles,46000,Other
Germany,Historical,EV sales,Cars,PHEV,2019,Vehicles,45000,Other
Japan,Historical,EV sales,Cars,PHEV,2024,Vehicles,43000,Other
Spain,Historical,EV sales,Cars,PHEV,2021,Vehicles,43000,Other
USA,Historical,EV sales,Cars,PHEV,2015,Vehicles,43000,Other
Canada,Historical,EV sales,Cars,PHEV,2023,Vehicles,41000,Other
Denmark,Historical,EV sales,Cars,PHEV,2021,Vehicles,40000,Other
Netherlands,Historical,EV sales,Cars,PHEV,2016,Vehicles,39000,Other
USA,Historical,EV sales,Cars,PHEV,2012,Vehicles,39000,Other
